College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Swami Vivekanand Faculty of Technology and Management - [SVFTM],Patiala,Punjab,['AICTE'],4.539510638938496,1.098111149533768,https://images.collegedunia.com/public/college_data/images/logos/1612519181Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1612519181Cover.png,40000,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory']",1,Private,Full Time,3
Swami Vivekanand College of Management and Technology - [SVCMT],Chandigarh,Chandigarh,['AICTE'],4.539510638938496,1.098408821301058,https://images.collegedunia.com/public/college_data/images/logos/1612529691Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1612529692Cover.png,40000,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Library', 'Cafeteria', 'Auditorium', 'Hostel', 'Laboratory']",1,Private,Part Time,3
PNS Institute of Technology and Management - [PNSITM],Muzaffarnagar,Uttar Pradesh,[],4.539510638938496,1.098706573760072,https://images.collegedunia.com/public/college_data/images/logos/1612595938unnamed.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1612595938unnamed1.jpg,12000,[],[],,"['Comp Labs', 'Library', 'Security', 'Classrooms', 'Cafeteria']",0,Private,Full Time,3
National Institute of Management and Research Studies - [NIMR],Mumbai,Maharashtra,[],4.539510638938496,1.0990044069326823,https://images.collegedunia.com/public/college_data/images/logos/1612615622Logo1Copy.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1612613279951064711079317009024599221074873596510208o.jpg,40000,[],[],,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Hostel', 'Laboratory']",1,Private,Part Time,3
Swami Vivekanand Group Of Institutes - [SVGOI],Chandigarh,Chandigarh,[],4.539510638938496,1.099302320840769,https://images.collegedunia.com/public/college_data/images/logos/1612693021Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1612693021Cover.png,40000,[],[],,"['Comp Labs', 'Classrooms', 'Communication Centre', 'Wi-FI Campus', 'Security', 'Medical', 'Transport', 'Cafeteria', 'Gym', 'Library']",1,Private,Full Time,3
Ironwood Sports Management Global Academy - [ISMGA],Mumbai,Maharashtra,[],4.539510638938496,1.099600315506218,https://images.collegedunia.com/public/college_data/images/logos/1612786065unnamed.png,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,225000,[],[],,"['Classrooms', 'Cafeteria', 'Library', 'Medical']",4,Private,Full Time,3
GEMS B School - [GEMS],Visakhapatnam,Andhra Pradesh,[],4.539510638938496,1.09989839095092,https://images.collegedunia.com/public/college_data/images/logos/16132229221613128486Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/16150217701.png,75000,[],[],,"['Comp Labs', 'Classrooms', 'Medical', 'Wi-FI Campus', 'Communication Centre', 'Security', 'Cafeteria', 'Laboratory']",2,Private,Full Time,3
ACTS Degree College,Visakhapatnam,Andhra Pradesh,[],4.539510638938496,1.100196547196773,https://images.collegedunia.com/public/college_data/images/logos/1613400934Logo.gif,https://images.collegedunia.com/public/college_data/images/appImage/1613400934Cover.jpg,50000,[],[],,"['Classrooms', 'Comp Labs', 'Laboratory', 'Security', 'Cafeteria', 'Medical', 'Wi-FI Campus', 'Communication Centre']",1,Private,Full Time,3
Jettwings Group of Institutes,Guwahati,Assam,['AICTE'],4.539510638938496,1.1004947842656796,https://images.collegedunia.com/public/college_data/images/logos/16136259871613460905Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1630559475WhatsAppImage20210826at17.07.27.jpeg,95250,[],[],,"['Classrooms', 'Comp Labs', 'Security', 'Medical', 'Wi-FI Campus', 'Communication Centre', 'Cafeteria']",2,Private,Full Time,3
Agrawal Institute of Hotel Management - [AIHM],Jaipur,Rajasthan,[],4.539510638938496,1.1007931021795494,https://images.collegedunia.com/public/college_data/images/logos/1613482833aihmlogo.png,https://images.collegedunia.com/public/college_data/images/appImage/1613482833bannerimg41024x813.jpeg,25000,[],[],,"['Security', 'Medical', 'Classrooms', 'Library', 'Swimming Pool', 'Auditorium']",1,Private,Full Time,3
Aditya Global Business School,Peddapuram,Andhra Pradesh,[],4.539510638938496,1.1010915009602975,https://images.collegedunia.com/public/college_data/images/logos/1613980367AdityaLOGO.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1613980367AdityaCoverphoto.jpg,0,[],[],,"['Library', 'Transport', 'Security', 'Cafeteria']",0,Private,Full Time,3
