College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Ramakrishna Vivekananda Mission Sarada Ma Girls College,Kolkata,West Bengal,[],7.656600216325209,0.2820557241897928,https://images.collegedunia.com/public/college_data/images/logos/1396430677Sarada Ma Girls College.png,https://images.collegedunia.com/public/college_data/images/appImage/4094_sardamaa_new.jpg,7200,[],[],,"['Medical', 'Sports', 'Library', 'Laboratory', 'Cafeteria', 'Auditorium', 'Comp Labs', 'Classrooms']",0,Private,Full Time,3
Sarat Centenary College,Hooghly,West Bengal,['UGC'],7.65660021632521,0.2821165513893162,https://images.collegedunia.com/public/college_data/images/logos/1617883639SCCLOGO.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1617883639SCCCOVER.jpg,4880,[],[],,"['Auditorium', 'e-classroom', 'Medical', 'Sports', 'Gym', 'Communication Centre', 'Library']",0,Private,Full Time,3
Sardar Vallabhbhai Patel Arts and Science College,Jalgaon,Maharashtra,['UGC'],7.656600216325211,0.2821773917066311,https://images.collegedunia.com/public/college_data/images/logos/col4115.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4115_SARDAR_NEW.jpg,1915,[],[],,[],0,Private,Full Time,3
"Sarhad College of Arts, Commerce & Science",Pune,Maharashtra,['UGC'],7.65660021632521,0.2822382451445666,https://images.collegedunia.com/public/college_data/images/logos/1429688500scacs-logo1.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4116_Sarhad_new.jpg,0,[],[],,"['Medical', 'Hostel', 'Gym', 'Sports', 'Library', 'Laboratory', 'Cafeteria', 'Auditorium', 'Comp Labs']",0,Private,Full Time,3
SCD Government College,Ludhiana,Punjab,[],7.656600216325209,0.282299111705952,https://images.collegedunia.com/public/college_data/images/logos/1561113999logo230x265.png,https://images.collegedunia.com/public/college_data/images/appImage/4133_SCDG_NEW.jpg,17600,[],[],,"['Comp Labs', 'Laboratory', 'Library']",0,Government,Full Time,3
Satyawati College,New Delhi,Delhi NCR,['UGC'],7.65660021632521,0.2823599913936178,https://images.collegedunia.com/public/college_data/images/logos/1559884898COLLEGELOGO.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4139_SC_NEW.jpg,7655,[],"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Classrooms', 'Security', 'Hostel']",0,Government,Full Time,3
Savitri Girl's College,Kolkata,West Bengal,[],7.656600216325209,0.2824208842103944,https://images.collegedunia.com/public/college_data/images/logos/col4142.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4142_SGC_NEW.jpg,8040,[],[],,"['Comp Labs', 'Sports', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Gym', 'Medical', 'Hostel']",0,Private,Full Time,3
Sengunthar Arts and Science College - [SASC],Namakkal,Tamil Nadu,['AICTE'],7.65660021632521,0.2824817901591135,https://images.collegedunia.com/public/college_data/images/logos/1419484255logo1.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4160_SASC_New.jpg,26250,[],[],,"['Hostel', 'Library', 'Laboratory', 'Auditorium', 'Medical', 'Cafeteria', 'Gym', 'Sports', 'Comp Labs', 'Wi-FI Campus']",1,Private,Full Time,3
Seshadripuram First Grade College - [SFGC],Bangalore,Karnataka,['UGC'],7.65660021632521,0.282542709242607,https://images.collegedunia.com/public/college_data/images/logos/col4166.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4166_SFGC_New.jpg,0,[],[],,"['Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Comp Labs', 'Laboratory', 'Transport', 'Sports']",0,Private,Full Time,3
Seth Anandaram Jaipuria College,Kolkata,West Bengal,['UGC'],7.656600216325209,0.2826036414637074,https://images.collegedunia.com/public/college_data/images/logos/1424682913jailogo.gif,https://images.collegedunia.com/public/college_data/images/appImage/1488359211cover.jpg,10490,[],[],,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",0,Government,Full Time,3
