College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Jawaharlal Nehru Institute of Medical Sciences - [JNIMS],Imphal,Manipur,['MCI'],7.662213218283048,0.3962593860757727,https://images.collegedunia.com/public/college_data/images/logos/1482746898Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57880_App_New.jpg,0,[],[],neet,"['Library', 'Laboratory', 'e-classroom', 'Hostel', 'Cafeteria', 'Medical']",0,Private,Full Time,5
Late Shri Lakhi Ram Agrawal Memorial Government Medical College - [GMC],Raigarh,Chhattisgarh,['MCI'],7.662213218283047,0.3969089916267166,https://images.collegedunia.com/public/college_data/images/logos/1482749241late-shri-lakhi-ram-agrawal-memorial-govt-medical-college-raigarh.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57882_late-shri-lakhi-ram-agrawal-memorial-govt-medical-college-raigarh-large.jpg,50000,[],[],neet,"['Sports', 'Medical', 'Cafeteria', 'Library', 'Laboratory', 'Comp Labs', 'Hostel', 'Classrooms', 'Auditorium']",1,Private,Full Time,5
Government Medical College - [GMC],Kannauj,Uttar Pradesh,['MCI'],7.662213218283048,0.3975596621047932,https://images.collegedunia.com/public/college_data/images/logos/1482752024Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57883_App_New.jpg,49800,[],[],neet,"['Library', 'Cafeteria', 'Medical', 'Sports', 'Laboratory', 'Auditorium', 'Comp Labs', 'Classrooms']",1,Private,Full Time,5
RNT Medical College,Udaipur,Rajasthan,['MCI'],7.662213218283048,0.3982113992557846,https://images.collegedunia.com/public/college_data/images/logos/15181627962.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57884_rnt.jpg,45500,[],[],neet,"['Sports', 'Medical', 'Library', 'Comp Labs', 'Laboratory', 'Cafeteria', 'Auditorium', 'Classrooms']",1,Private,Full Time,5
ESIC Medical College,Faridabad,Haryana,['MCI'],7.662213218283048,0.3988642048283351,https://images.collegedunia.com/public/college_data/images/logos/14827542523.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57885_33.jpg,100000,[],[],neet,"['Library', 'Laboratory', 'Comp Labs', 'Auditorium', 'Cafeteria', 'Classrooms', 'Hostel', 'Medical', 'Gym']",3,Private,Full Time,5
Government Medical College - [GMC],Jalaun,Uttar Pradesh,['MCI'],7.662213218283048,0.3995180805739553,https://images.collegedunia.com/public/college_data/images/logos/1482758484Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57886_App_New.jpg,36000,[],[],neet,"['Library', 'Classrooms', 'Laboratory', 'Medical', 'Sports', 'Comp Labs', 'Cafeteria', 'Auditorium']",1,Private,Full Time,5
Sardar Patel Medical College - [SPMC],Bikaner,Rajasthan,['MCI'],7.662213218283048,0.4001730282470274,https://images.collegedunia.com/public/college_data/images/logos/14828158501482753419s.png,https://images.collegedunia.com/public/college_data/images/appImage/57887_xd.png,16000,[],[],neet,"['Sports', 'Medical', 'Library', 'Laboratory', 'Comp Labs', 'Cafeteria', 'Classrooms', 'Auditorium', 'Hostel']",0,Private,Full Time,5
Mahamaya Rajkiya Allopathic Medical College - [MRAMC],Ambedkar Nagar,Uttar Pradesh,['MCI'],7.662213218283047,0.4008290496048094,https://images.collegedunia.com/public/college_data/images/logos/1482818790Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1498718743drcvr.jpg,36000,[],[],neet,"['Classrooms', 'Sports', 'Medical', 'Auditorium', 'Cafeteria', 'Laboratory', 'Comp Labs', 'Library']",1,Private,Full Time,5
Fakhruddin Ali Ahmed Medical College and Hospital - [FAAMCH],Barpeta,Assam,['MCI'],7.662213218283048,0.4014861464074402,https://images.collegedunia.com/public/college_data/images/logos/1482829083Logo_of_FAAMC.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/57889_dsfs.png,20000,[],[],neet,"['Sports', 'Medical', 'Library', 'Laboratory', 'Comp Labs', 'Classrooms', 'Auditorium', 'Cafeteria', 'Hostel']",0,Private,Full Time,5
Gandhi Medical College,Bhopal,Madhya Pradesh,['MCI'],7.662213218283049,0.4021443204179442,https://images.collegedunia.com/public/college_data/images/logos/1483012666Logo_of_GMC_Bhopal.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57891_gandhi-medical-college-hyd.jpg,65255,[],[],neet,"['Sports', 'Medical', 'Laboratory', 'Comp Labs', 'Library', 'Cafeteria', 'Classrooms', 'Auditorium']",1,Private,Full Time,5
